suicides100kpop,age,sex,HDI for year,gdp_per_capita ($)
6.52,35,1,0.591,437
4.24,55,0,0.617,437
4.13,75,0,0.617,437
3.91,25,0,0.617,437
3.51,15,1,0.617,437
2.97,15,1,0.591,437
2.95,25,1,0.591,437
2.85,35,0,0.617,437
2.67,25,1,0.617,437
2.11,35,1,0.617,437
1.99,5,0,0.591,437
1.18,55,1,0.617,437
0.93,5,1,0.591,437
0.29,5,1,0.617,437
0.27,5,0,0.617,437
0,75,1,0.617,437
15.05,35,0,0.627,441
13.17,25,0,0.627,441
12.66,55,0,0.627,441
9.69,75,0,0.627,441
8.51,15,0,0.627,441
5.56,15,1,0.627,441
5.04,25,1,0.627,441
4.21,75,1,0.627,441
3.53,55,1,0.627,441
2.88,35,1,0.627,441
1.4,5,0,0.627,441
0.36,5,1,0.627,441
10.75,75,0,0.632,458
7.31,55,0,0.632,458
5.86,35,0,0.632,458
4.57,25,0,0.632,458
3.97,55,1,0.632,458
1.49,35,1,0.632,458
1.25,15,0,0.632,458
1,25,1,0.632,458
0.32,15,1,0.632,458
0.27,5,1,0.632,458
0.26,5,0,0.632,458
0,75,1,0.632,458
41.69,55,0,0.594,459
41.03,75,0,0.594,459
36.01,35,0,0.594,459
24.61,25,0,0.594,459
23.44,75,1,0.594,459
16.6,15,0,0.594,459
6.89,55,1,0.594,459
6.29,25,1,0.594,459
4.27,15,1,0.594,459
4.14,35,1,0.594,459
1.04,5,0,0.594,459
0.53,5,1,0.594,459
5.46,75,0,0.609,462
2.66,35,0,0.609,462
2.12,55,0,0.609,462
1.36,15,0,0.609,462
1.05,75,1,0.609,462
0.78,25,0,0.609,462
0.44,25,1,0.609,462
0.41,35,1,0.609,462
0,15,1,0.609,462
0,5,1,0.609,462
0,55,1,0.609,462
0,5,0,0.609,462
8.53,55,0,0.641,465
6.1,35,0,0.641,465
5.84,75,1,0.641,465
3.51,75,0,0.641,465
3.19,25,0,0.641,465
2.63,55,1,0.641,465
1.22,15,0,0.641,465
0.61,35,1,0.641,465
0.34,25,1,0.641,465
0.26,5,0,0.641,465
0,15,1,0.641,465
0,5,1,0.641,465
4.96,55,0,0.59,476
3.16,75,1,0.59,476
2.72,75,0,0.59,476
2.02,35,0,0.59,476
2.01,25,0,0.59,476
1.35,15,0,0.59,476
0.48,15,1,0.59,476
0.43,55,1,0.59,476
0.4,35,1,0.59,476
0.3,25,1,0.59,476
0,5,1,0.59,476
0,5,0,0.59,476
30.91,55,0,0.643,484
26.3,35,0,0.643,484
24.92,75,0,0.643,484
19.82,25,0,0.643,484
12.92,15,0,0.643,484
10.69,75,1,0.643,484
5.75,35,1,0.643,484
3.41,15,1,0.643,484
2.03,25,1,0.643,484
1.91,55,1,0.643,484
1.76,5,0,0.643,484
0.91,5,1,0.643,484
21.47,35,0,0.614,513
20,25,0,0.614,513
16.41,55,0,0.614,513
14.07,15,0,0.614,513
13.33,75,0,0.614,513
7.17,75,1,0.614,513
6.93,15,1,0.614,513
5.75,25,1,0.614,513
4.54,55,1,0.614,513
3.73,35,1,0.614,513
1.95,5,0,0.614,513
0.57,5,1,0.614,513
73.12,75,0,0.505,514
34.43,35,0,0.505,514
32.45,25,0,0.505,514
31.81,15,0,0.505,514
24.01,15,1,0.505,514
16.27,55,0,0.505,514
7.72,55,1,0.505,514
6.16,35,1,0.505,514
4.62,25,1,0.505,514
2.25,5,0,0.505,514
0,5,1,0.505,514
0,75,1,0.505,514
6.3,55,0,0.657,515
5.28,75,1,0.657,515
4.74,35,0,0.657,515
3.03,55,1,0.657,515
2.14,25,0,0.657,515
1.74,15,0,0.657,515
0.75,35,1,0.657,515
0.7,25,1,0.657,515
0,15,1,0.657,515
0,5,1,0.657,515
0,5,0,0.657,515
0,75,0,0.657,515
13.26,35,0,0.634,516
11.62,25,0,0.634,516
10.6,55,0,0.634,516
8.35,15,0,0.634,516
6.17,75,0,0.634,516
4.92,15,1,0.634,516
4.04,75,1,0.634,516
3.44,25,1,0.634,516
2.54,35,1,0.634,516
2.05,55,1,0.634,516
0.92,5,0,0.634,516
0.13,5,1,0.634,516
59.63,75,0,0.609,528
45.8,35,0,0.609,528
44.95,55,0,0.609,528
29.57,75,1,0.609,528
26.71,25,0,0.609,528
17.62,15,0,0.609,528
13.73,55,1,0.609,528
8.14,35,1,0.609,528
6.06,25,1,0.609,528
4,15,1,0.609,528
2.02,5,0,0.609,528
0.56,5,1,0.609,528
10.64,75,0,0.648,530
7.52,75,1,0.648,530
5.98,55,0,0.648,530
3.74,35,0,0.648,530
1.76,25,0,0.648,530
1.68,15,0,0.648,530
1.43,25,1,0.648,530
1.37,55,1,0.648,530
0.18,35,1,0.648,530
0,15,1,0.648,530
0,5,1,0.648,530
0,5,0,0.648,530
6.76,75,0,0.654,532
6.58,55,0,0.654,532
4.49,35,0,0.654,532
2.14,25,0,0.654,532
1.99,55,1,0.654,532
1.88,75,1,0.654,532
1.77,35,1,0.654,532
1.19,15,0,0.654,532
0.35,25,1,0.654,532
0.27,5,1,0.654,532
0,15,1,0.654,532
0,5,0,0.654,532
26.01,25,0,0.614,533
24.38,75,0,0.614,533
24.3,35,0,0.614,533
21.2,55,0,0.614,533
15.03,15,0,0.614,533
4.83,15,1,0.614,533
4.76,25,1,0.614,533
3.92,35,1,0.614,533
3.79,55,1,0.614,533
3.24,5,0,0.614,533
2.91,75,1,0.614,533
1.11,5,1,0.614,533
40.08,55,0,0.52,561
30.66,35,0,0.52,561
25.85,25,0,0.52,561
24.31,75,0,0.52,561
19.41,75,1,0.52,561
15.49,15,0,0.52,561
9.75,15,1,0.52,561
6.07,25,1,0.52,561
4.49,35,1,0.52,561
3.78,55,1,0.52,561
1.13,5,1,0.52,561
1.13,5,0,0.52,561
6.21,55,0,0.594,590
4.87,35,0,0.594,590
3.22,25,0,0.594,590
1.06,35,1,0.594,590
1.05,15,0,0.594,590
0.95,15,1,0.594,590
0.64,55,1,0.594,590
0.59,25,1,0.594,590
0,5,1,0.594,590
0,75,1,0.594,590
0,5,0,0.594,590
0,75,0,0.594,590
60.87,75,0,0.622,603
39.81,55,0,0.622,603
36.89,35,0,0.622,603
24.59,25,0,0.622,603
15.7,15,0,0.622,603
12.32,75,1,0.622,603
10.04,55,1,0.622,603
7.51,15,1,0.622,603
5.52,35,1,0.622,603
5.35,25,1,0.622,603
2.06,5,0,0.622,603
0.76,5,1,0.622,603
13.35,35,0,0.625,606
11.62,55,0,0.625,606
11.55,25,0,0.625,606
8.41,75,0,0.625,606
6.33,15,0,0.625,606
4,15,1,0.625,606
3.37,25,1,0.625,606
2.79,35,1,0.625,606
2.74,75,1,0.625,606
2.34,55,1,0.625,606
0.97,5,0,0.625,606
0.34,5,1,0.625,606
37.56,25,0,0.542,607
28.75,55,0,0.542,607
24.45,75,0,0.542,607
22.51,15,0,0.542,607
20.76,35,0,0.542,607
14.18,15,1,0.542,607
11.77,55,1,0.542,607
6.34,35,1,0.542,607
6.26,25,1,0.542,607
2.24,5,0,0.542,607
2.24,5,1,0.542,607
0,75,1,0.542,607
34.11,75,0,0.65,610
26,25,0,0.65,610
22.57,35,0,0.65,610
15.08,55,0,0.65,610
14.07,15,0,0.65,610
10.03,75,1,0.65,610
7.49,55,1,0.65,610
6.23,15,1,0.65,610
3.67,35,1,0.65,610
3.21,25,1,0.65,610
2.58,5,0,0.65,610
0.95,5,1,0.65,610
2.46,35,0,0.604,631
2.06,75,1,0.604,631
1.98,55,0,0.604,631
1.76,25,0,0.604,631
0.81,55,1,0.604,631
0.76,35,1,0.604,631
0.45,15,1,0.604,631
0.28,15,0,0.604,631
0.11,5,0,0.604,631
0,25,1,0.604,631
0,5,1,0.604,631
0,75,0,0.604,631
23.06,35,0,0.594,632
19.26,25,0,0.594,632
19.07,55,0,0.594,632
14.04,15,0,0.594,632
11.5,75,0,0.594,632
8.73,75,1,0.594,632
7.34,15,1,0.594,632
5.68,25,1,0.594,632
5.36,55,1,0.594,632
4.12,35,1,0.594,632
1.74,5,0,0.594,632
0.41,5,1,0.594,632
17.36,75,0,0.649,640
6.37,25,0,0.649,640
4.44,55,1,0.649,640
4.43,55,0,0.649,640
4.02,35,0,0.649,640
3.78,75,1,0.649,640
2.27,35,1,0.649,640
2.03,15,0,0.649,640
1.17,25,1,0.649,640
0,15,1,0.649,640
0,5,1,0.649,640
0,5,0,0.649,640
2.58,35,0,0.615,645
2.22,55,0,0.615,645
1.45,25,0,0.615,645
0.85,15,0,0.615,645
0.5,35,1,0.615,645
0.4,55,1,0.615,645
0.3,15,1,0.615,645
0.28,25,1,0.615,645
0,5,1,0.615,645
0,75,1,0.615,645
0,5,0,0.615,645
0,75,0,0.615,645
83.81,55,0,0.668,663
76.85,35,0,0.668,663
70.3,75,0,0.668,663
50.43,25,0,0.668,663
29.35,15,0,0.668,663
23.58,75,1,0.668,663
15.92,55,1,0.668,663
10.61,35,1,0.668,663
7.42,25,1,0.668,663
5.4,15,1,0.668,663
2.86,5,0,0.668,663
0.66,5,1,0.668,663
83.74,55,0,0.698,666
74.75,35,0,0.698,666
70.38,75,0,0.698,666
52.4,25,0,0.698,666
28.33,15,0,0.698,666
25.28,75,1,0.698,666
16.16,55,1,0.698,666
10.63,35,1,0.698,666
7.32,25,1,0.698,666
4.37,15,1,0.698,666
2.28,5,0,0.698,666
0.42,5,1,0.698,666
30.68,25,0,0.534,671
24.04,35,0,0.534,671
23.51,15,0,0.534,671
15.78,55,0,0.534,671
7.53,25,1,0.534,671
4.95,15,1,0.534,671
4.36,35,1,0.534,671
3.69,55,1,0.534,671
2.27,5,1,0.534,671
0,75,1,0.534,671
0,5,0,0.534,671
0,75,0,0.534,671
58.09,75,0,0.632,677
40.49,55,0,0.632,677
38.22,35,0,0.632,677
34.18,25,0,0.632,677
24.01,75,1,0.632,677
15.48,55,1,0.632,677
12.01,15,0,0.632,677
9.1,15,1,0.632,677
6.91,35,1,0.632,677
4.46,25,1,0.632,677
3.06,5,0,0.632,677
0.58,5,1,0.632,677
8.13,75,0,0.624,697
6.42,55,0,0.624,697
5.01,75,1,0.624,697
2.59,25,0,0.624,697
2.48,35,0,0.624,697
2.48,15,0,0.624,697
2.12,15,1,0.624,697
1.53,25,1,0.624,697
0.58,35,1,0.624,697
0.57,55,1,0.624,697
0.27,5,0,0.624,697
0,5,1,0.624,697
2.64,75,0,0.64,711
2.49,55,0,0.64,711
2.4,75,1,0.64,711
1.81,25,0,0.64,711
1.5,35,0,0.64,711
1.49,15,0,0.64,711
0.69,55,1,0.64,711
0.54,15,1,0.64,711
0.44,25,1,0.64,711
0.3,35,1,0.64,711
0.11,5,1,0.64,711
0,5,0,0.64,711
55.56,75,0,0.615,715
42.04,35,0,0.615,715
38.86,55,0,0.615,715
28.27,25,0,0.615,715
25.08,75,1,0.615,715
15.69,55,1,0.615,715
13.49,15,0,0.615,715
9.77,35,1,0.615,715
7.95,15,1,0.615,715
6.43,25,1,0.615,715
3.13,5,0,0.615,715
0.8,5,1,0.615,715
12.74,75,0,0.672,734
11.47,55,0,0.672,734
5.88,35,0,0.672,734
4.97,25,0,0.672,734
4.83,75,1,0.672,734
2.88,55,1,0.672,734
2.31,15,0,0.672,734
1.25,35,1,0.672,734
0.31,25,1,0.672,734
0,15,1,0.672,734
0,5,1,0.672,734
0,5,0,0.672,734
7.51,35,0,0.632,756
7.43,75,0,0.632,756
5.98,55,0,0.632,756
5.21,25,0,0.632,756
4.19,35,1,0.632,756
3.67,15,0,0.632,756
2.68,55,1,0.632,756
2.04,75,1,0.632,756
1.25,25,1,0.632,756
1.16,15,1,0.632,756
0,5,1,0.632,756
0,5,0,0.632,756
9.52,55,0,0.632,759
8.1,35,0,0.632,759
7.31,15,0,0.632,759
7.2,75,0,0.632,759
6.98,75,1,0.632,759
6.63,25,0,0.632,759
4.87,55,1,0.632,759
3.43,25,1,0.632,759
2.63,5,0,0.632,759
1.52,35,1,0.632,759
1.05,15,1,0.632,759
0.81,5,1,0.632,759
7.96,55,0,0.706,777
7.23,75,0,0.706,777
5.63,75,1,0.706,777
4.1,35,0,0.706,777
3.7,25,0,0.706,777
2.68,55,1,0.706,777
2.33,15,0,0.706,777
0.94,35,1,0.706,777
0.32,25,1,0.706,777
0.3,5,1,0.706,777
0,15,1,0.706,777
0,5,0,0.706,777
10.32,75,0,0.676,788
9.67,55,0,0.676,788
5.81,25,0,0.676,788
5.26,35,0,0.676,788
1.71,75,1,0.676,788
1.7,15,0,0.676,788
1.28,35,1,0.676,788
1.19,55,1,0.676,788
0.45,25,1,0.676,788
0.34,5,0,0.676,788
0.34,15,1,0.676,788
0,5,1,0.676,788
15.25,25,0,0.642,793
13.5,15,0,0.642,793
11.81,75,0,0.642,793
7.88,35,0,0.642,793
7.14,15,1,0.642,793
6.66,55,0,0.642,793
5.84,25,1,0.642,793
4.75,75,1,0.642,793
1.89,35,1,0.642,793
1.66,5,1,0.642,793
1.05,5,0,0.642,793
0,55,1,0.642,793
76.65,55,0,0.715,812
70.64,35,0,0.715,812
69.8,75,0,0.715,812
47,25,0,0.715,812
28.58,15,0,0.715,812
20.28,75,1,0.715,812
13.28,55,1,0.715,812
8.83,35,1,0.715,812
6.41,25,1,0.715,812
4.03,15,1,0.715,812
2.11,5,0,0.715,812
0.53,5,1,0.715,812
30.82,25,0,0.544,819
27.65,15,0,0.544,819
24.49,75,0,0.544,819
20.6,35,0,0.544,819
15.56,55,0,0.544,819
11.28,15,1,0.544,819
10.88,55,1,0.544,819
9.02,25,1,0.544,819
8.47,35,1,0.544,819
3.43,5,1,0.544,819
0,75,1,0.544,819
0,5,0,0.544,819
5.31,55,0,0.642,820
4.39,75,0,0.642,820
3.16,35,0,0.642,820
1.39,55,1,0.642,820
1.16,25,0,0.642,820
1.13,15,0,0.642,820
1.12,75,1,0.642,820
0.73,35,1,0.642,820
0.45,5,0,0.642,820
0.45,25,1,0.642,820
0.13,15,1,0.642,820
0,5,1,0.642,820
76.18,75,0,0.672,834
70.51,55,0,0.672,834
60.22,25,0,0.672,834
57.78,35,0,0.672,834
43.33,15,0,0.672,834
28.96,15,1,0.672,834
18.73,25,1,0.672,834
15.29,75,1,0.672,834
10.67,35,1,0.672,834
10.56,55,1,0.672,834
2.01,5,0,0.672,834
1.47,5,1,0.672,834
5.58,25,0,0.619,835
5.06,55,0,0.619,835
4.9,75,1,0.619,835
4.59,15,1,0.619,835
4.56,15,0,0.619,835
3.98,75,0,0.619,835
3.72,35,0,0.619,835
2.65,25,1,0.619,835
2.24,35,1,0.619,835
1.59,5,0,0.619,835
1.11,55,1,0.619,835
0.57,5,1,0.619,835
11.04,25,0,0.539,840
11.03,55,0,0.539,840
10.67,15,1,0.539,840
10.1,15,0,0.539,840
9.68,75,0,0.539,840
9.43,35,0,0.539,840
6,25,1,0.539,840
4.79,35,1,0.539,840
4.57,55,1,0.539,840
4.01,75,1,0.539,840
0.76,5,1,0.539,840
0.46,5,0,0.539,840
0,15,1,0.59,854
0,25,1,0.59,854
0,35,1,0.59,854
0,5,1,0.59,854
0,55,1,0.59,854
0,75,1,0.59,854
0,15,0,0.59,854
0,25,0,0.59,854
0,35,0,0.59,854
0,5,0,0.59,854
0,55,0,0.59,854
0,75,0,0.59,854
83.84,55,0,0.696,879
78.78,75,0,0.696,879
77.27,35,0,0.696,879
53.27,25,0,0.696,879
28.34,15,0,0.696,879
24.95,75,1,0.696,879
18.11,55,1,0.696,879
11.48,35,1,0.696,879
6.46,25,1,0.696,879
5.46,15,1,0.696,879
1.47,5,0,0.696,879
0.72,5,1,0.696,879
11.63,75,0,0.657,899
10.85,15,0,0.657,899
10.83,15,1,0.657,899
10.82,25,0,0.657,899
7.47,35,0,0.657,899
4.9,55,0,0.657,899
3.63,25,1,0.657,899
3.19,55,1,0.657,899
2.42,35,1,0.657,899
0.51,5,0,0.657,899
0.27,5,1,0.657,899
0,75,1,0.657,899
92.57,75,0,0.678,900
73.21,25,0,0.678,900
69.75,55,0,0.678,900
68.97,35,0,0.678,900
51.92,15,0,0.678,900
35.84,15,1,0.678,900
26.33,75,1,0.678,900
22.51,25,1,0.678,900
14.2,35,1,0.678,900
11.99,55,1,0.678,900
2.82,5,1,0.678,900
1.99,5,0,0.678,900
79.1,75,0,0.69,912
65.46,55,0,0.69,912
62.14,35,0,0.69,912
51.36,25,0,0.69,912
28.04,15,0,0.69,912
22.15,15,1,0.69,912
14.9,25,1,0.69,912
13.92,75,1,0.69,912
10.01,35,1,0.69,912
9.01,55,1,0.69,912
1.06,5,0,0.69,912
0.91,5,1,0.69,912
119.14,75,0,0.71,915
52.85,55,0,0.71,915
43.16,75,1,0.71,915
27.84,35,0,0.71,915
24.39,55,1,0.71,915
20.29,25,0,0.71,915
15.91,15,0,0.71,915
8.73,35,1,0.71,915
6.4,25,1,0.71,915
3.39,15,1,0.71,915
1.12,5,0,0.71,915
0.94,5,1,0.71,915
91.81,75,0,0.691,920
76.6,75,0,0.722,920
70.52,35,0,0.691,920
70.49,55,0,0.691,920
70,55,0,0.722,920
67.29,25,0,0.691,920
66.99,35,0,0.722,920
50.3,25,0,0.722,920
42.37,15,0,0.691,920
30.33,15,1,0.691,920
26.39,15,0,0.722,920
23.47,75,1,0.691,920
20.18,25,1,0.691,920
18.7,75,1,0.722,920
13.12,55,1,0.722,920
13.02,35,1,0.691,920
11.68,55,1,0.691,920
9.19,35,1,0.722,920
6.55,25,1,0.722,920
3.9,15,1,0.722,920
2.08,5,1,0.691,920
2,5,0,0.691,920
1.85,5,0,0.722,920
0.46,5,1,0.722,920
88.58,75,0,0.685,925
86.9,55,0,0.685,925
82.51,35,0,0.685,925
53.86,25,0,0.685,925
27.48,15,0,0.685,925
22.34,75,1,0.685,925
16.44,55,1,0.685,925
11.27,35,1,0.685,925
7.11,25,1,0.685,925
4.59,15,1,0.685,925
2.01,5,0,0.685,925
0.33,5,1,0.685,925
9.23,75,0,0.686,928
7.21,55,0,0.686,928
4.96,35,0,0.686,928
4.77,75,1,0.686,928
4.75,25,0,0.686,928
1.2,55,1,0.686,928
0.63,35,1,0.686,928
0.35,5,0,0.686,928
0.33,15,0,0.686,928
0,15,1,0.686,928
0,25,1,0.686,928
0,5,1,0.686,928
0,15,1,0.549,928
0,25,1,0.549,928
0,35,1,0.549,928
0,5,1,0.549,928
0,55,1,0.549,928
0,75,1,0.549,928
0,15,0,0.549,928
0,25,0,0.549,928
0,35,0,0.549,928
0,5,0,0.549,928
0,55,0,0.549,928
0,75,0,0.549,928
108.22,75,0,0.683,935
71.53,55,0,0.683,935
70.44,35,0,0.683,935
64.55,25,0,0.683,935
41.28,15,0,0.683,935
29.77,15,1,0.683,935
20.54,25,1,0.683,935
15.57,75,1,0.683,935
12.24,35,1,0.683,935
11.72,55,1,0.683,935
3.04,5,1,0.683,935
2.25,5,0,0.683,935
49.8,75,0,0.581,939
46.14,35,0,0.581,939
32.77,25,0,0.581,939
26.94,55,0,0.581,939
21.14,15,0,0.581,939
12.67,15,1,0.581,939
9.63,35,1,0.581,939
6.05,25,1,0.581,939
3.58,55,1,0.581,939
0,5,1,0.581,939
0,75,1,0.581,939
0,5,0,0.581,939
5.89,75,0,0.651,948
4.24,75,1,0.651,948
3.89,55,0,0.651,948
3.83,35,0,0.651,948
2.06,15,0,0.651,948
1.98,25,0,0.651,948
1.61,55,1,0.651,948
1.12,15,1,0.651,948
1.06,35,1,0.651,948
0.82,5,0,0.651,948
0.45,25,1,0.651,948
0.12,5,1,0.651,948
78.03,75,0,0.694,951
61.77,35,0,0.694,951
60.72,55,0,0.694,951
43.23,25,0,0.694,951
28.89,15,0,0.694,951
18.9,15,1,0.694,951
14.06,25,1,0.694,951
13.24,75,1,0.694,951
9.19,55,1,0.694,951
8.23,35,1,0.694,951
1.72,5,1,0.694,951
1.43,5,0,0.694,951
101.59,75,0,0.679,953
72.97,55,0,0.679,953
65.23,35,0,0.679,953
59.62,25,0,0.679,953
33.88,15,0,0.679,953
28.36,15,1,0.679,953
19.26,25,1,0.679,953
18.96,75,1,0.679,953
12.91,35,1,0.679,953
11.66,55,1,0.679,953
1.63,5,1,0.679,953
1.22,5,0,0.679,953
3.35,75,0,0.606,957
2.96,25,0,0.606,957
2.6,15,1,0.606,957
2.59,15,0,0.606,957
2.53,75,1,0.606,957
2.2,35,0,0.606,957
2.13,55,0,0.606,957
1.7,25,1,0.606,957
0.97,55,1,0.606,957
0.94,35,1,0.606,957
0,5,1,0.606,957
0,5,0,0.606,957
2.26,75,0,0.603,958
1.43,55,0,0.603,958
1.3,15,0,0.603,958
1.3,25,0,0.603,958
1.07,35,0,0.603,958
0.9,15,1,0.603,958
0.52,75,1,0.603,958
0.38,35,1,0.603,958
0.33,55,1,0.603,958
0.32,25,1,0.603,958
0,5,1,0.603,958
0,5,0,0.603,958
15.47,75,0,0.564,964
6.21,55,0,0.564,964
3.81,35,0,0.564,964
2.86,55,1,0.564,964
2.48,15,1,0.564,964
2.4,15,0,0.564,964
2.32,25,1,0.564,964
1.49,25,0,0.564,964
1.09,5,1,0.564,964
1.08,35,1,0.564,964
0.21,5,0,0.564,964
0,75,1,0.564,964
28.37,25,0,0.634,991
27.16,75,0,0.634,991
21.94,35,0,0.634,991
20.05,55,0,0.634,991
14.4,15,0,0.634,991
9.34,75,1,0.634,991
6.8,15,1,0.634,991
4.57,55,1,0.634,991
4.25,35,1,0.634,991
4.01,25,1,0.634,991
1.52,5,0,0.634,991
0.79,5,1,0.634,991
95.19,75,0,0.662,996
80.11,55,0,0.662,996
79.07,35,0,0.662,996
52.45,25,0,0.662,996
25.47,15,0,0.662,996
23.6,75,1,0.662,996
15.75,55,1,0.662,996
10.82,35,1,0.662,996
9.56,75,0,0.483,996
8.11,25,0,0.483,996
6.81,25,1,0.662,996
5.88,35,0,0.483,996
5.2,15,1,0.662,996
3.76,15,0,0.483,996
2.89,55,0,0.483,996
1.77,5,0,0.662,996
1.17,35,1,0.483,996
1.09,15,1,0.483,996
1,25,1,0.483,996
0.43,5,1,0.662,996
0.31,55,1,0.483,996
0.15,5,1,0.483,996
0.15,5,0,0.483,996
0,75,1,0.483,996
3.45,75,0,0.65,1032
2.63,75,1,0.65,1032
1.16,15,0,0.65,1032
0.64,25,0,0.65,1032
0.59,35,0,0.65,1032
0.57,35,1,0.65,1032
0,15,1,0.65,1032
0,25,1,0.65,1032
0,5,1,0.65,1032
0,55,1,0.65,1032
0,5,0,0.65,1032
0,55,0,0.65,1032
85.48,55,0,0.689,1046
83.52,75,0,0.689,1046
78.78,35,0,0.689,1046
